id,text,intent
781,What is the total of city?,aggregate_sum
782,Show mean of status,aggregate_average
783,Count total entries,count_rows
784,List all headers,show_columns
785,List records with name less than 388,filter_condition
786,Order the results by gender from smallest to largest,sort_ascending
787,List by city from high to low,sort_descending
788,Sum up the values in score,aggregate_sum
789,Show mean of score,aggregate_average
790,Number of rows in the data,count_rows
791,List all headers,show_columns
792,Display entries where name equals 889,filter_condition
793,Sort the data by status in ascending order,sort_ascending
794,List by name from high to low,sort_descending
795,What is the total of status?,aggregate_sum
796,What is the average status?,aggregate_average
797,Number of rows in the data,count_rows
798,List all headers,show_columns
799,Show all rows where city is greater than 158,filter_condition
800,Sort the data by salary in ascending order,sort_ascending
801,List by country from high to low,sort_descending
802,Sum up the values in status,aggregate_sum
803,Show mean of status,aggregate_average
804,How many records are there?,count_rows
805,Which columns are in the dataset?,show_columns
806,List records with status less than 248,filter_condition
807,Arrange the table based on quantity lowest first,sort_ascending
808,Arrange country in reverse order,sort_descending
809,Sum up the values in city,aggregate_sum
810,Show mean of price,aggregate_average
811,Count total entries,count_rows
812,What fields are present?,show_columns
813,Show all rows where price is greater than 676,filter_condition
814,Sort the data by status in ascending order,sort_ascending
815,List by country from high to low,sort_descending
816,Get the total sum for quantity,aggregate_sum
817,Show mean of age,aggregate_average
818,Count total entries,count_rows
819,List all headers,show_columns
820,Show all rows where gender is greater than 61,filter_condition
821,Arrange the table based on quantity lowest first,sort_ascending
822,Sort by country in descending order,sort_descending
823,What is the total of gender?,aggregate_sum
824,Calculate average of gender,aggregate_average
825,How many records are there?,count_rows
826,List all headers,show_columns
827,List records with age less than 43,filter_condition
828,Arrange the table based on country lowest first,sort_ascending
829,Sort by city in descending order,sort_descending
830,Get the total sum for price,aggregate_sum
831,Calculate average of status,aggregate_average
832,How many records are there?,count_rows
833,List all headers,show_columns
834,List records with price less than 506,filter_condition
835,Order the results by age from smallest to largest,sort_ascending
836,Arrange status in reverse order,sort_descending
837,What is the total of salary?,aggregate_sum
838,Show mean of age,aggregate_average
839,How many records are there?,count_rows
840,Which columns are in the dataset?,show_columns
841,Show all rows where name is greater than 343,filter_condition
842,Order the results by score from smallest to largest,sort_ascending
843,Sort by gender in descending order,sort_descending
844,What is the total of gender?,aggregate_sum
845,Calculate average of gender,aggregate_average
846,Number of rows in the data,count_rows
847,Which columns are in the dataset?,show_columns
848,Show all rows where country is greater than 861,filter_condition
849,Order the results by score from smallest to largest,sort_ascending
850,Sort by age in descending order,sort_descending
851,Sum up the values in salary,aggregate_sum
852,What is the average quantity?,aggregate_average
853,Number of rows in the data,count_rows
854,List all headers,show_columns
855,Show all rows where gender is greater than 962,filter_condition
856,Arrange the table based on country lowest first,sort_ascending
857,Arrange salary in reverse order,sort_descending
858,Get the total sum for quantity,aggregate_sum
859,Show mean of country,aggregate_average
860,How many records are there?,count_rows
861,What fields are present?,show_columns
862,Display entries where status equals 36,filter_condition
863,Arrange the table based on gender lowest first,sort_ascending
864,Sort by age in descending order,sort_descending
865,Get the total sum for name,aggregate_sum
866,Calculate average of salary,aggregate_average
867,How many records are there?,count_rows
868,Which columns are in the dataset?,show_columns
869,List records with city less than 454,filter_condition
870,Order the results by country from smallest to largest,sort_ascending
871,Sort by gender in descending order,sort_descending
872,What is the total of price?,aggregate_sum
873,What is the average salary?,aggregate_average
874,Number of rows in the data,count_rows
875,What fields are present?,show_columns
876,Display entries where name equals 243,filter_condition
877,Sort the data by country in ascending order,sort_ascending
878,Arrange city in reverse order,sort_descending
879,What is the total of status?,aggregate_sum
880,What is the average salary?,aggregate_average
881,Count total entries,count_rows
882,Which columns are in the dataset?,show_columns
883,List records with city less than 80,filter_condition
884,Arrange the table based on price lowest first,sort_ascending
885,List by age from high to low,sort_descending
886,Sum up the values in gender,aggregate_sum
887,Show mean of name,aggregate_average
888,Count total entries,count_rows
889,What fields are present?,show_columns
890,Show all rows where city is greater than 335,filter_condition
891,Arrange the table based on status lowest first,sort_ascending
